LOCATION,SUBJECT,Value
AUS,FOOD,4.783659
AUS,TOT,5.089058
AUT,FOOD,5.01002
AUT,TOT,5.841584
BEL,FOOD,3.716658
BEL,TOT,7.980284
CAN,FOOD,7.508757
CAN,TOT,5.831533
DNK,FOOD,5.293367
DNK,TOT,4.838193
FIN,FOOD,4.273062
FIN,TOT,4.902305
FRA,FOOD,2.410379
FRA,TOT,3.658344
DEU,FOOD,5.274136
DEU,TOT,5.766833
GRC,FOOD,6.789881
GRC,TOT,7.444375
ISL,FOOD,4.310426
ISL,TOT,6.18148
IRL,FOOD,2.717967
IRL,TOT,5.782424
ITA,FOOD,4.736343
ITA,TOT,5.670103
JPN,FOOD,3.287305
JPN,TOT,0.8681135
KOR,FOOD,4.143909
KOR,TOT,3.80674
LUX,FOOD,3.386329
LUX,TOT,5.425875
NLD,FOOD,5.274371
NLD,TOT,7.444779
NZL,FOOD,7.364341
NZL,TOT,6.928839
NOR,FOOD,-0.244798
NOR,TOT,3.812573
POL,FOOD,8.7
POL,TOT,9.633333
PRT,FOOD,5.206631
PRT,TOT,4.291844
SVK,FOOD,9.803507
SVK,TOT,9.272217
ESP,FOOD,5.714382
ESP,TOT,7.860806
SWE,FOOD,3.918924
SWE,TOT,4.650614
CHE,FOOD,-0.8656459
CHE,TOT,2.062541
GBR,FOOD,5.1
GBR,TOT,5.5
USA,FOOD,8.666385
USA,TOT,7.966707
EST,FOOD,11.84664
EST,TOT,12.8392
ISR,FOOD,4.621214
ISR,TOT,3.363303
OECD,FOOD,8.78739
OECD,TOT,7.904531
PRT,TOT_FOODENRG,3.151558
BEL,TOT_FOODENRG,3.243147
CHE,TOT_FOODENRG,1.414945
IRL,TOT_FOODENRG,3.597533
LUX,TOT_FOODENRG,3.08617
ITA,TOT_FOODENRG,1.45744
FRA,TOT_FOODENRG,1.765517
POL,TOT_FOODENRG,6.566667
ISL,TOT_FOODENRG,6.025501
ISR,TOT_FOODENRG,2.642027
SWE,TOT_FOODENRG,2.983309
DEU,TOT_FOODENRG,3.028449
SVK,TOT_FOODENRG,7.469609
AUS,TOT_FOODENRG,3.756669
NOR,TOT_FOODENRG,2.317003
GBR,TOT_FOODENRG,4.5
OECD,TOT_FOODENRG,5.543796
USA,TOT_FOODENRG,6.303653
EST,TOT_FOODENRG,6.365217
FIN,TOT_FOODENRG,2.800217
AUT,TOT_FOODENRG,3.835979
NZL,TOT_FOODENRG,5.305255
CAN,TOT_FOODENRG,4.159795
ESP,TOT_FOODENRG,2.377319
GRC,TOT_FOODENRG,1.374558
DNK,TOT_FOODENRG,2.273736
KOR,TOT_FOODENRG,2.77741
JPN,TOT_FOODENRG,-1.647031
NLD,TOT_FOODENRG,2.528872
